phase_id,phase_name,status,evidence,last_updated,owner,note
0,課題発見・方針決定,完了,"doc/課題発見・方針決定.md",2026-04-15,ymn,"2026-04-15にGo承認済み"
1,企画・構想,完了,"doc/企画・構想.md",2026-04-15,ymn,"2026-04-15にGo承認済み"
2,プロジェクト立ち上げ,完了,"doc/プロジェクト立ち上げ.md",2026-04-15,ymn,"2026-04-15にGo承認済み"
3,要件定義,進行中,"doc/要件定義.md",2026-04-15,ymn,"工程3の最終固定を実施中"
4,基本設計,未着手,"",2026-04-15,ymn,""
5,詳細設計,未着手,"",2026-04-15,ymn,""
6,実装,未着手,"",2026-04-15,ymn,""
7,テスト,未着手,"",2026-04-15,ymn,""
8,リリース,未着手,"",2026-04-15,ymn,""
9,保守・運用,未着手,"",2026-04-15,ymn,""
